"BehaviorSpace results (NetLogo 6.2.2)"
"/home/gallagher/sensitivity/EBIVModelSAmorris.nlogo"
"SA_morris"
"04/26/2023 12:22:52:741 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","49"
"[run number]","[step]","perc-resource-cells","max-resources-base","r-growth-ts","fragmentation-level","n-animals","speed-mean","speed-max","HR-r-min","HR-r-max","B0","gamma","intercept-pcot","slope-pcot","intercept-icot","slope-icot","n-emb-range","emb-growth-c","emb-mass-init","emb-mass-inf","percent-fat-emb","percent-pro-emb","ED-pl","DE-pl","preg-prob-const","preg-prob-mid","off-BMR-red","off-growth-eff","milk-prod-eff","lact-prob-const","lact-prob-mid","ED-pro","DE-fat","DE-pro","growth-lm-prob-const","growth-lm-prob-mid","growth-lm-inf","growth-lm-k","stomach-fill-perc","AE-food","HIF","DM-food","ED-food","ED-fat","ED-cpro","gamma-mobilize","perc-water-adi","SL-max","item 0 t-mating","item 1 t-mating","t-mature","prob-ovul","t-0","t-gest","t-nurs","t-max-age","surv-prob-const","surv-prob-mid","surv-mod-embryo","surv-mod-off","item 0 winter-surv + 0.216","SA.BMadult","SA.BMemb","SA.BMwean","SA.age1stbirth","SA.LpY","SA.LSb","SA.dens"
"23","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","10.6","-0.319","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","145.2","273","36","0.176","4","24","18.9","744","113.6016","0.0144","0.502","0.633","0.416","32.353043588765985","7.520847651775473","17.489922480620212","238.5702479338843","0.2222222222222222","6.419117647058823","10.666666666666666"
"24","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","10.6","-0.319","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.5511","22.873","0.048","0.5511","1.056","0.9075","28.278","0.0981","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","145.2","273","36","0.176","4","24","18.9","744","113.6016","0.0144","0.502","0.633","0.416","33.02756475184487","7.5575539568345524","17.35546218487392","298.28409090909093","1","6.0964912280701755","13.318840579710145"
"25","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","10.6","-0.319","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.5511","22.873","0.048","0.4509","1.056","0.9075","28.278","0.0981","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","145.2","273","36","0.176","4","24","18.9","744","113.6016","0.0144","0.502","0.633","0.416","31.462582195245194","7.256361323155206","16.443198090692093","288.0181818181818","0.6153846153846154","6.093023255813954","10.992753623188406"
"27","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","10.6","-0.319","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.5511","22.873","0.048","0.4509","1.056","0.9075","28.278","0.0981","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","145.2","273","36","0.176","4","20","18.9","620","113.6016","0.0144","0.502","0.633","0.416","23.82273863803498","3.937892376681607","12.399496221662446","95.16279069767442","0.5510204081632653","6.757575757575758","16.47826086956522"
"26","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","10.6","-0.319","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.5511","22.873","0.048","0.4509","1.056","0.9075","28.278","0.0981","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","145.2","273","36","0.176","4","20","18.9","744","113.6016","0.0144","0.502","0.633","0.416","25.89047105357783","3.795564202334631","12.436991869918694","97.6797385620915","0","6.425","16.47826086956522"
"28","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","8.48","-0.319","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.5511","22.873","0.048","0.4509","1.056","0.9075","28.278","0.0981","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","145.2","273","36","0.176","4","20","18.9","620","113.6016","0.0144","0.502","0.633","0.416","24.426667515274964","3.8252437703142115","12.086608695652146","91.03809523809524","0.2857142857142857","6.36551724137931","17.67391304347826"
"29","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","8.48","-0.319","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.5511","22.873","0.048","0.4509","1.056","0.9075","28.278","0.0981","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2052","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","145.2","273","36","0.176","4","20","18.9","620","113.6016","0.0144","0.502","0.633","0.416","19.001430255402862","2.3535462912831133","8.9974358974359","106.26160337552743","0.5","6.1158940397351","20.471014492753625"
"30","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","8.48","-0.319","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.5511","22.873","0.0384","0.4509","1.056","0.9075","28.278","0.0981","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2052","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","145.2","273","36","0.176","4","20","18.9","620","113.6016","0.0144","0.502","0.633","0.416","18.993159203980095","3.0390140845070612","10.11173633440516","93.32394366197182","0.6231884057971014","6.396396396396397","24.13768115942029"
"31","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","8.48","-0.319","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.5511","27.4476","0.0384","0.4509","1.056","0.9075","28.278","0.0981","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2052","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","145.2","273","36","0.176","4","20","18.9","620","113.6016","0.0144","0.502","0.633","0.416","21.768478605388392","3.3202058504875707","10.47480314960631","165.99576271186442","0.625","6.47719298245614","16.840579710144926"
"32","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","8.48","-0.319","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.4509","27.4476","0.0384","0.4509","1.056","0.9075","28.278","0.0981","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2052","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","145.2","273","36","0.176","4","20","18.9","620","113.6016","0.0144","0.502","0.633","0.416","20.453956417267296","3.428756058158315","10.648032786885254","220.72932330827066","0.36","6.098522167487685","19.891304347826086"
"33","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","8.48","-0.319","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.4509","27.4476","0.0384","0.4509","1.056","0.9075","28.278","0.1199","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2052","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","145.2","273","36","0.176","4","20","18.9","620","113.6016","0.0144","0.502","0.633","0.416","20.48549591496098","3.4931363203050503","10.085714285714289","97.44036697247707","0.8207547169811321","6.515527950310559","17.492753623188406"
"34","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","8.48","-0.319","[2 9]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.4509","27.4476","0.0384","0.4509","1.056","0.9075","28.278","0.1199","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2052","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","145.2","273","36","0.176","4","20","18.9","620","113.6016","0.0144","0.502","0.633","0.416","20.721872806401777","3.465840707964606","10.196837944664015","96.24615384615385","1","5.76530612244898","12.978260869565217"
"35","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","8.48","-0.319","[2 9]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.4509","27.4476","0.0384","0.4509","1.056","0.9075","28.278","0.1199","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2052","0.603","11052.99","46920000","19100000","0.018","0.0952","0.398","145.2","273","36","0.176","4","20","18.9","620","113.6016","0.0144","0.502","0.633","0.416","19.075588505044326","3.532125205930808","10.064975450081812","96.02898550724638","0.7833333333333333","5.726415094339623","20.57246376811594"
"38","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","8.48","-0.319","[2 9]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.4509","27.4476","0.0384","0.4509","1.056","0.9075","28.278","0.1199","25850000","0.735","0.4884","23.2408","0.0612","0.0264","0.07712","0.05577","0.9196","0.2052","0.603","11052.99","46920000","19100000","0.015","0.0952","0.398","145.2","273","36","0.176","4","20","18.9","620","113.6016","0.0144","0.502","0.633","0.416","20.700547769794394","3.6365407319952796","9.135886214441992","298.41525423728814","1.4615384615384615","5.5","21.23913043478261"
