"","Parameter","SA.BMadult","SA.BMemb","SA.BMwean","SA.age1stbirth","SA.LpY","SA.LSb","SA.dens"
"emb-mass-inf","emb-mass-inf",16.9740570014946,14.6243907360378,5.21265082009724,20.9819772336571,30.5271667245605,5.98546750593241,25.3352633116381
"percent-fat-emb","percent-fat-emb",7.16166195690657,3.92089400744882,1.98611970912079,23.1998371043086,48.0175181848134,13.1640933981154,27.4586962106103
"percent-pro-emb","percent-pro-emb",29.7518334491485,12.8137896954758,10.8578446732788,25.4895517471586,40.7618481710983,17.6789729045011,17.1891072984232
"ED-pl","ED-pl",7.23455874876737,1.0061573368869,1.87698671550312,19.1323144945108,55.4736189294426,9.38942589421673,22.5222595602807
"DE-pl","DE-pl",16.9852748482765,3.20061031685249,6.41774564356379,20.6240419551056,47.1118283161017,15.7827098665234,21.9860931218053
"preg-prob-const*","preg-prob-const*",28.1688418754432,6.00246948605499,5.99593113830311,19.7571936164546,50.579147695981,9.19594738282914,26.0250468567448
"preg-prob-mid*","preg-prob-mid*",9.81834143597575,3.23579814198645,2.37736654251508,21.3039664302384,45.3519207597526,9.77165544483351,23.2523864776818
"off-BMR-red","off-BMR-red",26.6566280348952,2.61843216859531,8.37161078947848,18.2848292488387,42.0347390338197,10.25141445239,19.7863862368802
"off-growth-eff","off-growth-eff",7.59434471614035,1.66150324124923,6.08623215225692,7.7742139279973,27.1001681948044,5.00356075229063,22.7674721272636
"milk-prod-eff","milk-prod-eff",13.0967383074226,1.99145318597064,7.61904568764663,14.7544731372284,25.8994430835483,9.30294176272827,26.2113601358711
"lact-prob-const*","lact-prob-const*",20.926970883211,2.95661974766029,6.39219533684604,13.2011917617516,67.8253580682983,13.1122411291889,18.646235113252
"lact-prob-mid*","lact-prob-mid*",12.6678526264893,3.12692058474688,7.32639053128856,38.2898318218279,57.7042401625338,14.4608592073844,34.9626750904769
"ED-pro","ED-pro",27.9775055430775,2.16132669045827,8.44565639066009,30.4914144182729,75.8233496706278,9.85092188535257,21.7770929950206
"DE-fat","DE-fat",100,100,100,100,100,100,100
"DE-pro","DE-pro",12.7079077868821,2.88536597508494,3.75365156595056,16.3023748815957,45.8120620408916,9.62495124458634,26.0451591677802
"growth-lm-prob-const*","growth-lm-prob-const*",19.5088683980247,2.0952009340509,3.46972622731354,23.6665771812807,61.1813022254269,11.711695535334,19.6224642132804
