"","perc-resource-cells","max-resources-base","r-growth-ts","fragmentation-level","n-animals","speed-mean","speed-max","HR-r-min","HR-r-max","B0","gamma","intercept-pcot","slope-pcot","intercept-icot","slope-icot","n-emb-mid","emb-growth-c","emb-mass-init","emb-mass-inf","percent-fat-emb","percent-pro-emb","ED-pl","DE-pl","preg-prob-const*","preg-prob-mid*","off-BMR-red","off-growth-eff","milk-prod-eff","lact-prob-const*","lact-prob-mid*","ED-pro","DE-fat","DE-pro","growth-lm-prob-const*","growth-lm-prob-mid*","growth-lm-inf","growth-lm-k","stomach-fill-perc","AE-food","HIF","DM-food","ED-food","ED-fat","EC-pro","gamma-mobilize","perc-water-adi","max-SL","t-mating-start","t-mating-end","t-mature","prob-ovul","t-0","t-gest","t-nurs","t-max-age","surv-prob-const*","surv-prob-mid*","surv-mod-emb*","surv-mod-off*","winter-surv-mid"
"25",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,10.6,-0.319,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.5511,22.873,0.048,0.4509,1.056,0.9075,28.278,0.0981,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,145.2,273,36,0.176,4,24,18.9,744,113.6016,0.0144,0.502,0.633,0.416
"26",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,10.6,-0.319,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.5511,22.873,0.048,0.4509,1.056,0.9075,28.278,0.0981,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,145.2,273,36,0.176,4,20,18.9,744,113.6016,0.0144,0.502,0.633,0.416
"27",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,10.6,-0.319,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.5511,22.873,0.048,0.4509,1.056,0.9075,28.278,0.0981,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,145.2,273,36,0.176,4,20,18.9,620,113.6016,0.0144,0.502,0.633,0.416
"28",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,8.48,-0.319,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.5511,22.873,0.048,0.4509,1.056,0.9075,28.278,0.0981,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,145.2,273,36,0.176,4,20,18.9,620,113.6016,0.0144,0.502,0.633,0.416
"29",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,8.48,-0.319,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.5511,22.873,0.048,0.4509,1.056,0.9075,28.278,0.0981,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2052,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,145.2,273,36,0.176,4,20,18.9,620,113.6016,0.0144,0.502,0.633,0.416
"30",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,8.48,-0.319,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.5511,22.873,0.0384,0.4509,1.056,0.9075,28.278,0.0981,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2052,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,145.2,273,36,0.176,4,20,18.9,620,113.6016,0.0144,0.502,0.633,0.416
"31",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,8.48,-0.319,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.5511,27.4476,0.0384,0.4509,1.056,0.9075,28.278,0.0981,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2052,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,145.2,273,36,0.176,4,20,18.9,620,113.6016,0.0144,0.502,0.633,0.416
"32",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,8.48,-0.319,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.4509,27.4476,0.0384,0.4509,1.056,0.9075,28.278,0.0981,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2052,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,145.2,273,36,0.176,4,20,18.9,620,113.6016,0.0144,0.502,0.633,0.416
"33",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,8.48,-0.319,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.4509,27.4476,0.0384,0.4509,1.056,0.9075,28.278,0.1199,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2052,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,145.2,273,36,0.176,4,20,18.9,620,113.6016,0.0144,0.502,0.633,0.416
"34",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,8.48,-0.319,5.5,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.4509,27.4476,0.0384,0.4509,1.056,0.9075,28.278,0.1199,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2052,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,145.2,273,36,0.176,4,20,18.9,620,113.6016,0.0144,0.502,0.633,0.416
"35",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,8.48,-0.319,5.5,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.4509,27.4476,0.0384,0.4509,1.056,0.9075,28.278,0.1199,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2052,0.603,11052.99,46.92,19.1,0.018,0.0952,0.398,145.2,273,36,0.176,4,20,18.9,620,113.6016,0.0144,0.502,0.633,0.416
"36",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,8.48,-0.319,5.5,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.4509,27.4476,0.0384,0.4509,1.056,0.9075,28.278,0.1199,25.85,0.735,0.4884,23.2408,0.0612,0.0264,0.07712,0.04563,0.9196,0.2052,0.603,11052.99,46.92,19.1,0.018,0.0952,0.398,145.2,273,36,0.176,4,20,18.9,620,113.6016,0.0144,0.502,0.633,0.416
"37",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,8.48,-0.319,5.5,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.4509,27.4476,0.0384,0.4509,1.056,0.9075,28.278,0.1199,25.85,0.735,0.4884,23.2408,0.0612,0.0264,0.07712,0.04563,0.9196,0.2052,0.603,11052.99,46.92,19.1,0.015,0.0952,0.398,145.2,273,36,0.176,4,20,18.9,620,113.6016,0.0144,0.502,0.633,0.416
