site,model,experiment,floor_date,NDVI,year
Konnovesi,CNRM-CM6-1-HR,ssp245,2099-05-01,0.7114406891942883,2099
Konnovesi,CNRM-CM6-1-HR,ssp245,2099-06-01,0.7852603470104217,2099
Konnovesi,CNRM-CM6-1-HR,ssp245,2099-07-01,0.8344229367165826,2099
Konnovesi,CNRM-CM6-1-HR,ssp245,2099-08-01,0.8737632970473768,2099
Konnovesi,CNRM-CM6-1-HR,ssp245,2099-09-01,0.783436196148917,2099
Konnovesi,CNRM-CM6-1-HR,ssp245,2099-10-01,0.7165636214096627,2099
Konnovesi,EC-Earth3-CC,ssp245,2022-04-01,0.3353567901234568,2022
Konnovesi,EC-Earth3-CC,ssp245,2022-05-01,0.6889833333333334,2022
Konnovesi,EC-Earth3-CC,ssp245,2022-06-01,0.8092530864197531,2022
Konnovesi,EC-Earth3-CC,ssp245,2022-07-01,0.8015938271604939,2022
Konnovesi,EC-Earth3-CC,ssp245,2022-08-01,0.7772012345679012,2022
Konnovesi,EC-Earth3-CC,ssp245,2022-09-01,0.7017043209876543,2022
Konnovesi,EC-Earth3-CC,ssp245,2022-10-01,0.6591197530864198,2022
Konnovesi,EC-Earth3-CC,ssp245,2039-04-01,0.47440673216638896,2039
Konnovesi,EC-Earth3-CC,ssp245,2039-05-01,0.5793410648671833,2039
Konnovesi,EC-Earth3-CC,ssp245,2039-06-01,0.7024714345052832,2039
Konnovesi,EC-Earth3-CC,ssp245,2039-07-01,0.8237597915690134,2039
Konnovesi,EC-Earth3-CC,ssp245,2039-08-01,0.7750196195964663,2039
Konnovesi,EC-Earth3-CC,ssp245,2039-09-01,0.7044328770586356,2039
Konnovesi,EC-Earth3-CC,ssp245,2039-10-01,0.5589243098984101,2039
Konnovesi,EC-Earth3-CC,ssp245,2099-04-01,0.4335960378282539,2099
Konnovesi,EC-Earth3-CC,ssp245,2099-05-01,0.6300646190344271,2099
Konnovesi,EC-Earth3-CC,ssp245,2099-06-01,0.7289507207050987,2099
Konnovesi,EC-Earth3-CC,ssp245,2099-07-01,0.8180766126123915,2099
Konnovesi,EC-Earth3-CC,ssp245,2099-08-01,0.7936390675468217,2099
Konnovesi,EC-Earth3-CC,ssp245,2099-09-01,0.722269861737223,2099
Konnovesi,EC-Earth3-CC,ssp245,2099-10-01,0.6135138817083692,2099
Evenstad,AWI-CM-1-1-MR,ssp245,2022-04-01,0.2146626835443038,2022
Evenstad,AWI-CM-1-1-MR,ssp245,2022-05-01,0.5792197530864198,2022
Evenstad,AWI-CM-1-1-MR,ssp245,2022-06-01,0.7065734567901235,2022
Evenstad,AWI-CM-1-1-MR,ssp245,2022-07-01,0.7445814814814815,2022
Evenstad,AWI-CM-1-1-MR,ssp245,2022-08-01,0.7441561728395061,2022
Evenstad,AWI-CM-1-1-MR,ssp245,2022-09-01,0.5495981481481481,2022
Evenstad,AWI-CM-1-1-MR,ssp245,2022-10-01,0.626383950617284,2022
Evenstad,AWI-CM-1-1-MR,ssp245,2039-04-01,0.1779536422064114,2039
Evenstad,AWI-CM-1-1-MR,ssp245,2039-05-01,0.4673726208348855,2039
Evenstad,AWI-CM-1-1-MR,ssp245,2039-06-01,0.744985917220256,2039
Evenstad,AWI-CM-1-1-MR,ssp245,2039-07-01,0.7079386422657294,2039
Evenstad,AWI-CM-1-1-MR,ssp245,2039-08-01,0.5530430507031312,2039
Evenstad,AWI-CM-1-1-MR,ssp245,2039-09-01,0.45232815703605,2039
Evenstad,AWI-CM-1-1-MR,ssp245,2039-10-01,0.40895314787041703,2039
Evenstad,AWI-CM-1-1-MR,ssp245,2099-04-01,0.30804705912272967,2099
Evenstad,AWI-CM-1-1-MR,ssp245,2099-05-01,0.5400055106794073,2099
Evenstad,AWI-CM-1-1-MR,ssp245,2099-06-01,0.640674079606196,2099
Evenstad,AWI-CM-1-1-MR,ssp245,2099-07-01,0.7671139494881156,2099
Evenstad,AWI-CM-1-1-MR,ssp245,2099-08-01,0.7756823472362413,2099
Evenstad,AWI-CM-1-1-MR,ssp245,2099-09-01,0.4855371742191886,2099
Evenstad,AWI-CM-1-1-MR,ssp245,2099-10-01,0.3412473088111182,2099
Evenstad,CNRM-CM6-1-HR,ssp245,2022-04-01,0.2146626835443038,2022
Evenstad,CNRM-CM6-1-HR,ssp245,2022-05-01,0.5792197530864198,2022
Evenstad,CNRM-CM6-1-HR,ssp245,2022-06-01,0.7065734567901235,2022
Evenstad,CNRM-CM6-1-HR,ssp245,2022-07-01,0.7445814814814815,2022
Evenstad,CNRM-CM6-1-HR,ssp245,2022-08-01,0.7441561728395061,2022
Evenstad,CNRM-CM6-1-HR,ssp245,2022-09-01,0.5495981481481481,2022
Evenstad,CNRM-CM6-1-HR,ssp245,2022-10-01,0.626383950617284,2022
Evenstad,CNRM-CM6-1-HR,ssp245,2039-04-01,0.33829141158989395,2039
Evenstad,CNRM-CM6-1-HR,ssp245,2039-05-01,0.54951501597017,2039
Evenstad,CNRM-CM6-1-HR,ssp245,2039-06-01,0.6856272561948324,2039
Evenstad,CNRM-CM6-1-HR,ssp245,2039-07-01,0.7239628403346468,2039
Evenstad,CNRM-CM6-1-HR,ssp245,2039-08-01,0.6194674961479534,2039
Evenstad,CNRM-CM6-1-HR,ssp245,2039-09-01,0.47952108271602495,2039
Evenstad,CNRM-CM6-1-HR,ssp245,2039-10-01,0.4588756337260137,2039
Evenstad,CNRM-CM6-1-HR,ssp245,2099-04-01,0.42637159568072114,2099
Evenstad,CNRM-CM6-1-HR,ssp245,2099-05-01,0.5550717512679639,2099
Evenstad,CNRM-CM6-1-HR,ssp245,2099-06-01,0.6827246236353083,2099
Evenstad,CNRM-CM6-1-HR,ssp245,2099-07-01,0.753951323814909,2099
Evenstad,CNRM-CM6-1-HR,ssp245,2099-08-01,0.792301200547854,2099
Evenstad,CNRM-CM6-1-HR,ssp245,2099-09-01,0.6133754869764774,2099
Evenstad,CNRM-CM6-1-HR,ssp245,2099-10-01,0.5208821455294879,2099
Evenstad,EC-Earth3-CC,ssp245,2022-04-01,0.2146626835443038,2022
Evenstad,EC-Earth3-CC,ssp245,2022-05-01,0.5792197530864198,2022
Evenstad,EC-Earth3-CC,ssp245,2022-06-01,0.7065734567901235,2022
Evenstad,EC-Earth3-CC,ssp245,2022-07-01,0.7445814814814815,2022
Evenstad,EC-Earth3-CC,ssp245,2022-08-01,0.7441561728395061,2022
Evenstad,EC-Earth3-CC,ssp245,2022-09-01,0.5495981481481481,2022
Evenstad,EC-Earth3-CC,ssp245,2022-10-01,0.626383950617284,2022
