site,model,experiment,floor_date,NDVI,year
Evenstad,CNRM-CM6-1-HR,ssp585,2099-07-01,0.8475318409205178,2099
Evenstad,CNRM-CM6-1-HR,ssp585,2099-08-01,0.9262539488330579,2099
Evenstad,CNRM-CM6-1-HR,ssp585,2099-09-01,0.7082319266980031,2099
Evenstad,CNRM-CM6-1-HR,ssp585,2099-10-01,0.6488576120930605,2099
Evenstad,EC-Earth3-CC,ssp585,2022-04-01,0.2146626835443038,2022
Evenstad,EC-Earth3-CC,ssp585,2022-05-01,0.5792197530864198,2022
Evenstad,EC-Earth3-CC,ssp585,2022-06-01,0.7065734567901235,2022
Evenstad,EC-Earth3-CC,ssp585,2022-07-01,0.7445814814814815,2022
Evenstad,EC-Earth3-CC,ssp585,2022-08-01,0.7441561728395061,2022
Evenstad,EC-Earth3-CC,ssp585,2022-09-01,0.5495981481481481,2022
Evenstad,EC-Earth3-CC,ssp585,2022-10-01,0.626383950617284,2022
Evenstad,EC-Earth3-CC,ssp585,2099-04-01,0.4852984603778305,2099
Evenstad,EC-Earth3-CC,ssp585,2099-05-01,0.7050011065877894,2099
Evenstad,EC-Earth3-CC,ssp585,2099-06-01,0.7653914765210361,2099
Evenstad,EC-Earth3-CC,ssp585,2099-07-01,0.9322205311610379,2099
Evenstad,EC-Earth3-CC,ssp585,2099-08-01,0.9130257444478984,2099
Evenstad,EC-Earth3-CC,ssp585,2099-09-01,0.6925657267816276,2099
Evenstad,EC-Earth3-CC,ssp585,2099-10-01,0.6584536808494252,2099
Havelaue,AWI-CM-1-1-MR,ssp585,2022-04-01,0.5206641975308642,2022
Havelaue,AWI-CM-1-1-MR,ssp585,2022-05-01,0.648241975308642,2022
Havelaue,AWI-CM-1-1-MR,ssp585,2022-06-01,0.5690604938271604,2022
Havelaue,AWI-CM-1-1-MR,ssp585,2022-07-01,0.5275111111111113,2022
Havelaue,AWI-CM-1-1-MR,ssp585,2022-08-01,0.46636481481481484,2022
Havelaue,AWI-CM-1-1-MR,ssp585,2022-09-01,0.5852580246913581,2022
Havelaue,AWI-CM-1-1-MR,ssp585,2022-10-01,0.6344271604938272,2022
Havelaue,AWI-CM-1-1-MR,ssp585,2099-04-01,0.5281574614057548,2099
Havelaue,AWI-CM-1-1-MR,ssp585,2099-05-01,0.5518598207550339,2099
Havelaue,AWI-CM-1-1-MR,ssp585,2099-06-01,0.5967504481900244,2099
Havelaue,AWI-CM-1-1-MR,ssp585,2099-07-01,0.6362754977570722,2099
Havelaue,AWI-CM-1-1-MR,ssp585,2099-08-01,0.6532182675540079,2099
Havelaue,AWI-CM-1-1-MR,ssp585,2099-09-01,0.610552102545085,2099
Havelaue,AWI-CM-1-1-MR,ssp585,2099-10-01,0.6002625497537053,2099
Havelaue,CNRM-CM6-1-HR,ssp585,2022-04-01,0.5206641975308642,2022
Havelaue,CNRM-CM6-1-HR,ssp585,2022-05-01,0.648241975308642,2022
Havelaue,CNRM-CM6-1-HR,ssp585,2022-06-01,0.5690604938271604,2022
Havelaue,CNRM-CM6-1-HR,ssp585,2022-07-01,0.5275111111111113,2022
Havelaue,CNRM-CM6-1-HR,ssp585,2022-08-01,0.46636481481481484,2022
Havelaue,CNRM-CM6-1-HR,ssp585,2022-09-01,0.5852580246913581,2022
Havelaue,CNRM-CM6-1-HR,ssp585,2022-10-01,0.6344271604938272,2022
Havelaue,CNRM-CM6-1-HR,ssp585,2099-04-01,0.5458798740328271,2099
Havelaue,CNRM-CM6-1-HR,ssp585,2099-05-01,0.5862302643263573,2099
Havelaue,CNRM-CM6-1-HR,ssp585,2099-06-01,0.6314639252801201,2099
Havelaue,CNRM-CM6-1-HR,ssp585,2099-07-01,0.6511565818031297,2099
Havelaue,CNRM-CM6-1-HR,ssp585,2099-08-01,0.6623556845169398,2099
Havelaue,CNRM-CM6-1-HR,ssp585,2099-09-01,0.6416114073903331,2099
Havelaue,CNRM-CM6-1-HR,ssp585,2099-10-01,0.5801387417169559,2099
Havelaue,EC-Earth3-CC,ssp585,2022-04-01,0.5206641975308642,2022
Havelaue,EC-Earth3-CC,ssp585,2022-05-01,0.648241975308642,2022
Havelaue,EC-Earth3-CC,ssp585,2022-06-01,0.5690604938271604,2022
Havelaue,EC-Earth3-CC,ssp585,2022-07-01,0.5275111111111113,2022
Havelaue,EC-Earth3-CC,ssp585,2022-08-01,0.46636481481481484,2022
Havelaue,EC-Earth3-CC,ssp585,2022-09-01,0.5852580246913581,2022
Havelaue,EC-Earth3-CC,ssp585,2022-10-01,0.6344271604938272,2022
