[0.18 ,  54 ,  3]
[0.17 ,  54 ,  3]
[0.19 ,  55 ,  3]
[0.19 ,  55 ,  3]
[0.18 ,  55 ,  3]
[0.18 ,  55 ,  3]
[0.18 ,  55 ,  3]
[0.19 ,  55 ,  3]
[0.19 ,  55 ,  3]
[0.19 ,  55 ,  3]
[0.18 ,  55 ,  3]
[0.19 ,  55 ,  3]
[0.19 ,  56 ,  3]
[0.19 ,  56 ,  3]
[0.18 ,  56 ,  3]
[0.19 ,  56 ,  3]
[0.18 ,  56 ,  3]
[0.19 ,  56 ,  3]
[0.19 ,  56 ,  3]
[0.18 ,  56 ,  3]
[0.19 ,  56 ,  3]
[0.18 ,  56 ,  3]
[0.18 ,  57 ,  3]
[0.19 ,  57 ,  3]
[0.17 ,  57 ,  3]
[0.19 ,  57 ,  3]
[0.19 ,  57 ,  3]
[0.17 ,  57 ,  3]
[0.18 ,  57 ,  3]
[0.18 ,  57 ,  3]
[0.19 ,  57 ,  3]
[0.18 ,  57 ,  3]
[0.19 ,  58 ,  3]
[0.18 ,  58 ,  3]
[0.18 ,  58 ,  3]
[0.18 ,  58 ,  3]
[0.18 ,  58 ,  3]
[0.19 ,  58 ,  3]
[0.19 ,  58 ,  3]
[0.18 ,  58 ,  3]
[0.19 ,  58 ,  3]
[0.19 ,  58 ,  3]
[0.18 ,  59 ,  3]
[0.18 ,  59 ,  3]
[0.18 ,  59 ,  3]
[0.18 ,  59 ,  3]
[0.19 ,  59 ,  3]
[0.19 ,  59 ,  3]
[0.19 ,  59 ,  3]
[0.18 ,  59 ,  3]
[0.18 ,  59 ,  3]
[0.19 ,  59 ,  3]
[0.18 ,  60 ,  3]
[0.19 ,  60 ,  3]
[0.18 ,  60 ,  3]
[0.19 ,  60 ,  3]
[0.18 ,  60 ,  3]
[0.18 ,  60 ,  3]
[0.18 ,  60 ,  3]
[0.18 ,  60 ,  3]
[0.18 ,  60 ,  3]
[0.18 ,  60 ,  3]
[0.17 ,  61 ,  3]
[0.19 ,  61 ,  3]
[0.19 ,  61 ,  3]
[0.19 ,  61 ,  3]
[0.18 ,  61 ,  3]
[0.18 ,  61 ,  3]
[0.19 ,  61 ,  3]
[0.19 ,  61 ,  3]
[0.17 ,  61 ,  3]
[0.19 ,  61 ,  3]
[0.19 ,  62 ,  3]
[0.19 ,  62 ,  3]
